STATISTIC,Statistic Label,C02404V02898,Fuel Type,TLIST(A1),Year,UNIT,VALUE
SEI02,Primary Energy Production,08,Sum of all indigenous production,1990,1990,ktoe,3471
SEI02,Primary Energy Production,08,Sum of all indigenous production,1991,1991,ktoe,3291
SEI02,Primary Energy Production,08,Sum of all indigenous production,1992,1992,ktoe,3086
SEI02,Primary Energy Production,08,Sum of all indigenous production,1993,1993,ktoe,3456
SEI02,Primary Energy Production,08,Sum of all indigenous production,1994,1994,ktoe,3565
SEI02,Primary Energy Production,08,Sum of all indigenous production,1995,1995,ktoe,4105
SEI02,Primary Energy Production,08,Sum of all indigenous production,1996,1996,ktoe,3544
SEI02,Primary Energy Production,08,Sum of all indigenous production,1997,1997,ktoe,2857
SEI02,Primary Energy Production,08,Sum of all indigenous production,1998,1998,ktoe,2463
SEI02,Primary Energy Production,08,Sum of all indigenous production,1999,1999,ktoe,2462
SEI02,Primary Energy Production,08,Sum of all indigenous production,2000,2000,ktoe,2161
SEI02,Primary Energy Production,08,Sum of all indigenous production,2001,2001,ktoe,1776
SEI02,Primary Energy Production,08,Sum of all indigenous production,2002,2002,ktoe,1546
SEI02,Primary Energy Production,08,Sum of all indigenous production,2003,2003,ktoe,1837
SEI02,Primary Energy Production,08,Sum of all indigenous production,2004,2004,ktoe,1880
SEI02,Primary Energy Production,08,Sum of all indigenous production,2005,2005,ktoe,1702
SEI02,Primary Energy Production,08,Sum of all indigenous production,2006,2006,ktoe,1686
SEI02,Primary Energy Production,08,Sum of all indigenous production,2007,2007,ktoe,1435
SEI02,Primary Energy Production,08,Sum of all indigenous production,2008,2008,ktoe,1573
SEI02,Primary Energy Production,08,Sum of all indigenous production,2009,2009,ktoe,1464
SEI02,Primary Energy Production,08,Sum of all indigenous production,2010,2010,ktoe,1855
SEI02,Primary Energy Production,08,Sum of all indigenous production,2011,2011,ktoe,1723
SEI02,Primary Energy Production,08,Sum of all indigenous production,2012,2012,ktoe,1292
SEI02,Primary Energy Production,08,Sum of all indigenous production,2013,2013,ktoe,2327
SEI02,Primary Energy Production,08,Sum of all indigenous production,2014,2014,ktoe,2054
SEI02,Primary Energy Production,08,Sum of all indigenous production,2015,2015,ktoe,1963
SEI02,Primary Energy Production,08,Sum of all indigenous production,2016,2016,ktoe,4244
SEI02,Primary Energy Production,08,Sum of all indigenous production,2017,2017,ktoe,4888
SEI02,Primary Energy Production,08,Sum of all indigenous production,2018,2018,ktoe,5045
SEI02,Primary Energy Production,08,Sum of all indigenous production,2019,2019,ktoe,4155
SEI02,Primary Energy Production,08,Sum of all indigenous production,2020,2020,ktoe,3566
SEI02,Primary Energy Production,08,Sum of all indigenous production,2021,2021,ktoe,3029
SEI02,Primary Energy Production,08,Sum of all indigenous production,2022,2022,ktoe,3124
SEI02,Primary Energy Production,08,Sum of all indigenous production,2023,2023,ktoe,2973
SEI02,Primary Energy Production,01,Sum of all coal products,1990,1990,ktoe,16
SEI02,Primary Energy Production,01,Sum of all coal products,1991,1991,ktoe,1
SEI02,Primary Energy Production,01,Sum of all coal products,1992,1992,ktoe,1
SEI02,Primary Energy Production,01,Sum of all coal products,1993,1993,ktoe,1
SEI02,Primary Energy Production,01,Sum of all coal products,1994,1994,ktoe,1
SEI02,Primary Energy Production,01,Sum of all coal products,1995,1995,ktoe,1
SEI02,Primary Energy Production,01,Sum of all coal products,1996,1996,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,1997,1997,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,1998,1998,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,1999,1999,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2000,2000,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2001,2001,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2002,2002,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2003,2003,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2004,2004,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2005,2005,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2006,2006,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2007,2007,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2008,2008,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2009,2009,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2010,2010,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2011,2011,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2012,2012,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2013,2013,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2014,2014,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2015,2015,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2016,2016,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2017,2017,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2018,2018,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2019,2019,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2020,2020,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2021,2021,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2022,2022,ktoe,
SEI02,Primary Energy Production,01,Sum of all coal products,2023,2023,ktoe,
SEI02,Primary Energy Production,02,Sum of all peat products,1990,1990,ktoe,1411
SEI02,Primary Energy Production,02,Sum of all peat products,1991,1991,ktoe,1200
SEI02,Primary Energy Production,02,Sum of all peat products,1992,1992,ktoe,1021
SEI02,Primary Energy Production,02,Sum of all peat products,1993,1993,ktoe,1134
SEI02,Primary Energy Production,02,Sum of all peat products,1994,1994,ktoe,1192
SEI02,Primary Energy Production,02,Sum of all peat products,1995,1995,ktoe,1697
SEI02,Primary Energy Production,02,Sum of all peat products,1996,1996,ktoe,1203
SEI02,Primary Energy Production,02,Sum of all peat products,1997,1997,ktoe,766
SEI02,Primary Energy Production,02,Sum of all peat products,1998,1998,ktoe,822
SEI02,Primary Energy Production,02,Sum of all peat products,1999,1999,ktoe,1135
SEI02,Primary Energy Production,02,Sum of all peat products,2000,2000,ktoe,965
SEI02,Primary Energy Production,02,Sum of all peat products,2001,2001,ktoe,883
SEI02,Primary Energy Production,02,Sum of all peat products,2002,2002,ktoe,606
SEI02,Primary Energy Production,02,Sum of all peat products,2003,2003,ktoe,1056
SEI02,Primary Energy Production,02,Sum of all peat products,2004,2004,ktoe,906
SEI02,Primary Energy Production,02,Sum of all peat products,2005,2005,ktoe,845
SEI02,Primary Energy Production,02,Sum of all peat products,2006,2006,ktoe,826
SEI02,Primary Energy Production,02,Sum of all peat products,2007,2007,ktoe,643
SEI02,Primary Energy Production,02,Sum of all peat products,2008,2008,ktoe,660
SEI02,Primary Energy Production,02,Sum of all peat products,2009,2009,ktoe,578
SEI02,Primary Energy Production,02,Sum of all peat products,2010,2010,ktoe,1011
